Price,Currency,Year,Condition,Total Hours,Total Seats,Flight Rules,Category,Propulsion,No. Engines,Make,Model,City,State,Country,Continent,National Origin,Eng. 1 Hours,Maint. Eng. 1,Eng. 2 Hours,Maint. Eng. 2,Prop. 1 Hours,Maint. Prop. 1,Prop. 2 Hours,Maint. Prop. 2,text
245000.0,,1988,,24053.0,,,Airplane,Turboprop,,British Aerospace,J31,,,Canada,North America,United Kingdom,,,,,,,,,Price: USD $
115000.0,,1974,,2095.0,6,,Airplane,Piston Engine,1,Cessna,210,,,Canada,North America,United States,,,,,,,,,Price: USD $
167500.0,USD,2003,Used,1980.0,,,Airplane,Piston Engine,1,Cessna,300,Calgary,,Canada,,United States,57.0,SMOH,,,,SPOH,,,$
280000.0,,1982,,3765.0,,,Airplane,Piston Engine,1,Cessna,P210N,,,Canada,North America,United States,,,,,,,,,Price: USD $
107000.0,USD,1977,Used,6136.0,4,,Airplane,Piston Engine,1,Cessna,172N Skyhawk,Sidney,BC,Canada,,United States,1065.0,SMOH,,,,SPOH,,,$
199000.0,,1981,,5080.0,,,Airplane,Piston Engine,2,Cessna,414,,,Canada,North America,United States,,,,,,,,,Price: USD $
139900.0,USD,1977,Used,6509.0,,,Airplane,Piston Engine,1,Cessna,A185F,Calgary,,Canada,,United States,1689.0,SMOH,,,,SPOH,,,$
70000.0,USD,1978,Used,2034.0,4,IFR,Airplane,Piston Engine,1,Cessna,182Rg Skylane,Calgary,AB,Canada,,United States,2034.0,SNEW,,,,SMOH,,,$
115000.0,USD,1979,Used,6610.0,4,,Airplane,Piston Engine,1,Cessna,172 Hawk Xp-R172,Manning,AB,Canada,,United States,279.0,,,,,,,,$
1395000.0,,2018,,19.0,,,Rotorcraft,Turboshaft,,Bell Textron,505 Jetranger,,,Chile,South America,United States,,,,,,,,,Price: USD $
3495000.0,,2019,,100.0,,,Rotorcraft,Turboshaft,,Leonardo,Aw119Kx,,,Chile,South America,Italy,,,,,,,,,Price: USD $
995000.0,USD,1937,Used,17058.0,,IFR,Airplane,Piston Engine,2,Lockheed Corporation,12A,,ON,Canada,,United States,137.0,SMOH,744.0,SMOH,137.0,SPOH,137.0,SPOH,$
117500.0,USD,1953,Used,16420.0,2,VFR,Airplane,Piston Engine,1,Cessna,L19 305A Bird Dog,Fort Erie,ON,Canada,,United States,578.0,SMOH,,,,SPOH,,,$
1990000.0,EUR,2002,,1100.0,,,Rotorcraft,Turboshaft,,Airbus Helicopters,Ec 135P2,,,Spain,Europe,Germany,,,,,,,,,Price: â‚¬
85000.0,USD,1961,Used,4269.0,6,IFR,Airplane,Piston Engine,2,Beechcraft,55 Baron,Ciudad de la Costa,,Uruguay,,United States,1217.0,,1217.0,,300.0,,300.0,,$
7000.0,USD,1956,Project,,4,,Airplane,Piston Engine,1,Cessna,172,Lebanon,TN,United States,,United States,,,,,,,,,$
649000.0,EUR,1989,,4916.0,,,Airplane,Turboprop,,Piper Aircraft,Jetprop,,,Austria,Europe,United States,,,,,,,,,Price: â‚¬
1950000.0,EUR,2001,,3054.0,,,Airplane,Turboprop,,Beechcraft,King Air 350,,,Germany,Europe,United States,,,,,,,,,Price: â‚¬
190000.0,EUR,1941,,4335.0,,,Military/Classic/Vintage,,,Boeing,Stearman,,,Germany,Europe,United States,,,,,,,,,Price: â‚¬
99000.0,EUR,,,2070.0,,,Airplane,Piston Engine,1,Socata,Tb-21 Trinidad,,,Germany,Europe,France,,,,,,,,,Price: â‚¬
120000.0,EUR,1952,Used,152.0,2,,Airplane,Piston Engine,1,Polikarpov,Po-2,,,Germany,,Soviet Union,,,,,,,,,$
145000.0,EUR,1982,,2898.0,,,Airplane,Piston Engine,1,Cessna,P210N,,,Germany,Europe,United States,,,,,,,,,Price: â‚¬
205000.0,EUR,1980,,3836.0,,,Airplane,Piston Engine,1,Cessna,P210N,,,Germany,Europe,United States,,,,,,,,,Price: â‚¬
3750000.0,,2014,,1850.0,,,Airplane,Turboprop,,Pilatus,Pc-12 Ng,,,Germany,Europe,Switzerland,,,,,,,,,Price: USD $
4300000.0,,2017,,821.0,,,Airplane,Turboprop,,Pilatus,Pc-12/47,,,Germany,Europe,Switzerland,,,,,,,,,Price: USD $
375000.0,EUR,1953,,,,,Military/Classic/Vintage,,,Yakovlev,Yak 11,,,Germany,Europe,Soviet Union,,,,,,,,,Price: â‚¬
4500000.0,EUR,1944,Used,11.0,1,,Airplane,Piston Engine,1,Messerschmitt,Bf-109G-14,,,Germany,,Germany,12.0,,,,,,,,$
1270000.0,,2011,,1335.0,,,Airplane,Turboprop,,Piper Aircraft,Meridian,,,Germany,Europe,United States,,,,,,,,,Price: USD $
